"region","total_population","percent_white","percent_black","percent_asian","percent_hispanic","per_capita_income","median_rent","median_age"
22035,7501,28,70,0,1,11313,272,33.3
22037,19855,53,45,0,1,21348,465,41.8
22039,33768,68,28,0,3,18484,308,35.8
22041,20550,66,33,0,0,17324,331,37.9
22043,22362,76,14,0,6,17987,481,37.6
22045,73938,60,31,3,4,23977,476,35.8
22047,33229,48,48,0,2,21428,446,38.4
22049,16109,67,30,0,2,18986,355,39.6
22051,435092,54,26,4,14,27127,764,38.7
22053,31434,78,17,0,2,22260,403,38.4
22055,231811,67,25,2,4,30240,648,34
22057,97474,77,13,1,4,25303,555,36.6
22059,14899,83,11,0,4,20818,333,38.6
22061,47349,53,40,2,3,21003,499,27.4
22063,133949,89,6,0,3,25999,641,35.3
22065,11873,35,62,0,2,14205,320,34.6
22067,27012,50,47,0,1,18209,380,39.3
22069,39330,53,40,1,2,19883,440,33.8
22071,376738,31,59,3,5,27721,765,35.4
22073,155769,59,37,1,2,21770,508,34.7
22075,23599,66,21,3,6,24837,868,36.5
22077,22498,60,36,0,2,25024,353,42.6
22079,132225,62,32,2,3,21671,523,37.4
22081,8838,58,39,0,1,23016,364,39.8
22083,20777,61,36,0,2,19699,346,38
22085,24248,68,17,0,4,22605,301,41.5
22087,42858,65,21,2,10,20160,711,33
22089,52639,66,26,1,6,27247,709,37.2
22091,10818,44,53,0,0,18620,434,39.2
22093,21650,48,50,0,2,24071,464,38.8
22095,44161,38,54,0,5,22660,686,36
22097,83613,55,41,0,2,19156,396,36.6
22099,53126,65,30,1,2,22983,463,36.7
22101,53441,57,31,2,6,21847,485,37.7
22103,242960,79,12,2,5,31022,820,39.8
22105,125486,64,30,1,4,21671,585,34.4
22107,4893,42,56,0,2,16912,273,43
22109,112742,68,18,1,5,23626,682,35.2
22111,22533,68,26,0,4,19676,345,41.7
22113,59110,79,14,2,3,23261,436,36.7
22115,52476,70,14,2,9,21578,831,30
22117,46556,66,30,0,2,17745,407,39.2
22119,40617,63,34,0,2,20248,409,40.9
22121,24669,57,38,1,3,26118,601,35.4
22123,11454,80,17,0,3,19353,326,39.7
22125,15415,52,46,0,2,22122,592,40.4
22127,14855,65,33,0,1,17877,338,41.3
23001,107393,91,1,1,2,25011,633,40.6
23003,70005,95,1,0,1,21763,465,46.6
23005,286119,91,3,2,2,34081,863,41.9
23007,30402,96,0,0,1,22980,532,44.9
23009,54658,95,0,1,1,28432,648,47.4
23011,121112,95,1,1,1,25957,616,44
23013,39723,96,1,1,1,28144,659,47.2
23015,34156,96,0,1,1,29078,650,49.8
23017,57421,96,0,1,1,21280,527,45.7
23019,153437,94,1,1,1,24149,662,41.3
23021,17156,96,0,0,1,22856,477,49.8
23023,35092,95,1,1,1,30062,681,45.2
23025,51577,96,0,0,1,21729,543,44.9
23027,38976,96,0,1,1,24473,619,45
23029,32191,90,1,0,2,21977,430,46.8
23031,199682,95,1,1,2,30705,810,44.1
24001,73549,88,8,1,2,21674,487,41.5
24003,555280,71,16,4,7,41706,1322,38.4
24005,822959,60,27,6,5,35011,998,39.1
24009,90114,79,13,1,3,39011,1274,40.6
24011,32661,77,14,1,6,24943,648,40.1
24013,167444,90,3,2,3,36936,911,42.2
24015,101960,86,7,1,4,29538,799,40.1
24017,152754,45,42,3,5,36809,1279,37.7
24019,32534,65,28,1,4,27870,643,43.8
24021,241373,76,9,4,8,37449,1128,39.1
24023,29813,97,1,0,1,25348,483,44.5
24025,248966,78,13,3,4,35746,963,40.1
24027,304115,56,18,16,6,48104,1403,38.8
24029,19923,78,15,1,4,30081,647,46.2
24031,1017859,47,17,14,18,49110,1463,38.5
24033,892816,14,63,4,16,32639,1181,35.8
24035,48600,87,7,1,3,38733,978,43.5
24037,109614,76,14,3,5,36668,1073,36.3
24039,25980,52,41,1,4,16631,535,37
24041,37799,78,12,1,6,38317,830,49
24043,149270,81,10,2,4,27066,715,40.4
24045,101182,65,24,3,5,26241,784,35.5
24047,51519,80,14,1,3,32419,765,49.1
24510,622454,28,62,3,5,25707,781,34.6
25001,214766,91,2,1,3,37678,971,51.3
25003,129288,90,3,2,4,30469,645,45.8
25005,552763,84,3,2,7,29607,695,40.6
25007,17048,92,3,1,1,38560,1154,45.9
25009,763849,74,3,3,18,36212,936,40.6
25011,71144,92,1,2,4,30584,725,45.1
25013,468041,65,8,2,23,26560,708,38.6
25015,160759,85,3,5,5,30244,858,35.9
25017,1556116,75,5,10,7,44152,1211,38.5
25019,10556,77,9,1,10,45000,1476,39.5
25021,687721,78,6,10,4,45829,1217,40.9
25023,503681,83,9,1,4,36163,1006,42.1
25025,758919,46,20,9,21,34420,1167,32.2
25027,810935,79,4,4,10,32284,803,39.8
26001,10550,96,0,0,1,23933,419,56.6
26003,9476,85,8,0,1,21259,449,48.7
26005,112837,89,1,1,7,25161,616,40
26007,29068,96,0,0,1,22082,447,47.1
26009,23267,95,0,0,2,27155,529,49.5
26011,15424,95,0,0,2,21197,424,48.4
26013,8690,73,18,1,1,17461,384,43.6
26015,59147,95,0,0,3,25795,607,42.6
26017,106698,91,1,1,5,24445,523,42.6
26019,17437,94,0,0,2,25023,533,48.4
26021,155565,75,15,2,5,25241,540,41.4
26023,43706,91,2,0,4,21263,518,40.6
26025,134790,79,11,2,5,23150,551,40.1
26027,51952,87,5,1,3,24314,524,44.1
26029,26134,94,0,0,2,28188,554,46.7
26031,25690,92,1,0,1,23631,471,49.1
26033,38586,71,6,1,2,20396,485,39
26035,30710,95,0,0,2,19181,441,46.4
26037,76905,90,2,1,4,29766,627,39.7
26039,13895,95,0,1,2,22595,531,49.3
26041,36712,94,0,0,1,23061,437,46.4
26043,26012,96,0,1,1,24880,508,46.4
26045,108341,84,6,2,5,27577,655,41
26047,33018,92,1,1,2,31109,637,44.3
26049,415874,72,20,1,3,22957,537,39.6
26051,25501,97,0,0,1,21234,418,48.9
26053,15824,90,5,0,1,21008,399,48.3
26055,89907,93,1,1,3,28050,747,41.7
26057,41878,87,6,0,6,19618,459,38.9
26059,46178,95,1,0,2,21291,507,42
26061,36660,93,1,3,1,20081,522,32.8
26063,32290,96,0,1,2,23382,440,48
26065,283491,71,11,6,8,25436,669,31.5
26067,64064,88,3,0,5,20921,533,37.9
26069,25401,95,1,1,2,23486,437,52
26071,11507,95,0,0,2,21725,414,53.3
26073,70669,86,3,2,4,20518,620,26.3
26075,159759,85,8,1,3,23377,602,40.5
26077,256752,79,11,2,5,26416,622,34
26079,17230,95,1,0,2,21320,530,44.4
26081,622590,75,9,2,10,27032,654,34.8
26083,2198,98,1,0,1,24384,418,54.5
26085,11426,86,8,0,2,16679,390,51.5
26087,88235,92,1,0,4,24478,622,43.3
26089,21772,91,1,1,4,34322,653,52.4
26091,98902,87,2,0,8,23252,582,40.9
26093,184591,95,0,1,2,33619,768,42.1
26095,6477,79,8,0,3,18427,488,44.3
26097,11044,75,2,1,1,23889,458,50.9
26099,854689,81,10,3,2,27525,714,40.8
26101,24536,90,3,0,3,22647,492,48.2
26103,67582,93,2,1,1,23785,515,39.1
26105,28711,92,1,1,4,24244,559,45.7
26107,43301,92,3,1,2,20405,513,35.7
26109,23717,94,0,0,2,23233,436,47.5
26111,83624,92,1,2,2,30172,612,40.9
26113,14988,95,0,0,2,20530,521,43
26115,150436,92,2,1,3,26982,639,41.7
26117,63004,92,2,0,3,19955,529,40
26119,9401,96,0,0,1,20771,417,54.6
26121,171483,77,14,1,5,21291,532,39.1
26123,48029,91,1,0,6,21230,516,42.4
26125,1229503,74,14,6,4,37728,795,40.8
26127,26229,83,1,0,14,20234,463,42.3
26129,21222,95,0,1,2,20972,478,49
26131,6298,96,0,1,1,21896,337,55.6
26133,23234,95,1,0,2,19205,434,42.5
26135,8444,96,0,0,1,19520,412,51.3
26137,24141,95,0,1,2,25743,548,44.2
26139,273136,85,1,3,9,26519,679,34.7
26141,13037,96,0,0,1,23550,427,53.2
26143,24068,96,0,0,1,22513,450,54.4
26145,196479,70,18,1,8,23139,544,40.3
26147,160429,92,2,1,3,25429,589,42.8
26149,61022,87,3,1,7,21559,517,39.2
26151,42014,94,0,0,4,21374,466,44.2
26153,8288,86,0,1,1,20580,437,50
26155,69113,94,0,0,3,23582,533,41.5
26157,54420,94,1,0,3,21904,484,43.3
26159,75351,82,3,1,11,22358,517,41.3
26161,354092,71,12,8,4,34738,841,33.4
26163,1778969,50,39,3,6,22897,623,37.8
26165,32751,95,1,1,2,20988,534,41.7
