"region","total_population","percent_white","percent_black","percent_asian","percent_hispanic","per_capita_income","median_rent","median_age"
1001,53155,78,18,1,2,24568,534,36.2
1003,175791,84,9,1,4,26469,655,41
1005,27699,47,46,0,5,15875,335,38
1007,22610,84,15,0,1,19918,324,38.3
1009,56692,89,1,0,7,21070,373,38.3
1011,10923,22,74,0,2,20289,226,38.7
1013,20895,55,43,1,0,16916,288,39.7
1015,117149,74,20,1,3,20574,394,38.1
1017,34579,58,39,0,2,16626,329,40.1
1019,25700,92,5,0,1,21322,279,43.9
1021,43121,82,9,0,7,20517,372,37.2
1023,14111,55,43,0,0,17214,331,43.2
1025,26255,54,42,0,1,17372,266,38.9
1027,14040,80,15,0,3,18332,268,41.3
1029,14823,93,4,0,1,17490,353,40.1
1031,48349,73,17,1,6,22797,389,37.9
1033,54446,80,16,0,2,21079,373,41.6
1035,13382,52,46,0,0,15755,248,43.4
1037,11470,66,34,0,0,19209,256,43.8
1039,37608,84,13,0,1,19822,290,42.1
1041,13928,72,21,4,1,19793,273,39.5
1043,79941,93,1,0,4,20284,381,39.5
1045,49730,71,19,1,5,21722,422,35.8
1047,44066,30,69,0,1,16646,299,36.8
1049,70038,83,1,0,12,18152,324,37
1051,77650,75,20,1,3,22640,494,37.3
1053,37996,62,31,0,2,16259,358,38.3
1055,104066,80,15,1,3,20439,383,40
1057,17472,86,11,0,1,17711,308,42.4
1059,31383,81,4,0,13,18094,311,38.5
1061,26541,85,10,0,3,18351,321,42.2
1063,9255,18,80,0,1,14738,264,41.9
1065,16168,40,59,0,0,16523,265,39.1
1067,17148,67,29,2,2,19716,336,42.4
1069,99029,69,25,1,3,22725,435,38
1071,53386,90,3,0,2,18905,316,41.4
1073,656912,53,42,1,3,26529,545,37
1075,14743,86,12,0,1,19789,226,42.2
1077,91762,86,10,1,2,22341,374,39.7
1079,34235,77,11,0,2,19370,320,40.2
1081,135010,70,23,3,3,22794,500,28.8
1083,78614,80,13,1,5,24007,412,38.5
1085,11731,25,73,0,1,16524,314,39.7
1087,21699,15,83,0,1,16380,306,35.8
1089,323080,67,23,2,4,29918,518,37.1
1091,21296,46,53,0,0,18323,283,40.1
1093,30792,93,3,1,2,19030,254,42
1095,90867,85,2,1,11,19875,379,38
1097,408620,60,34,2,2,21548,513,36.3
1099,23329,55,41,0,1,17652,311,39.7
1101,228018,40,54,2,3,24622,549,34.6
1103,117632,79,12,1,7,23090,424,38.5
1105,10684,30,68,0,1,13433,214,35.2
1107,19917,56,42,0,1,16278,245,40.7
1109,32147,58,36,2,2,19013,373,31.7
1111,22817,75,21,0,2,19844,327,40
1113,51663,53,41,0,3,17415,456,36.4
1115,80658,88,9,0,2,22192,473,38.2
1117,187880,82,10,2,5,33978,670,36.5
1119,13871,24,74,0,1,14460,303,36.9
1121,82347,65,32,0,2,18713,355,38.6
1123,41534,70,27,0,2,22542,321,41.2
1125,188331,65,30,1,3,22546,534,31.2
1127,67612,91,6,0,2,20516,356,40.5
1129,17556,65,25,0,1,18824,289,39.4
1131,12012,27,73,0,0,12573,217,36.7
1133,24687,95,0,0,3,18055,268,42.6
2013,3703,6,10,52,15,22279,545,38.5
2016,6259,24,11,34,19,29920,1024,42
2020,284267,64,5,7,7,34678,939,33
2050,16838,11,0,1,1,18584,852,25.8
2060,1049,46,0,0,3,31260,775,38.9
2068,1144,87,2,1,1,42245,541,42.4
2070,4817,19,0,1,2,22597,850,28.9
2090,94439,74,4,3,6,30395,906,30.8
2100,1658,81,0,1,3,27979,641,49.6
